"tract","Name","Household_Income_rP_gP_pall"
6037262301,"Los Angeles, CA",85044
6037265100,"Westwood, Los Angeles, CA",81626
6037574602,"Bixby Hill, Long Beach, CA",79078
6037262302,"Brentwood, Los Angeles, CA",77935
6037265420,"Westwood, Los Angeles, CA",76807
6037670500,"Rolling Hills, CA",76786
6037670406,"Rolling Hills Estates, CA",75352
6037139801,"Tarzana, Los Angeles, CA",75027
6111007406,"Oak Park, CA",74717
6037108202,"Northridge, Los Angeles, CA",74459
6037261200,"Beverly Glen, Los Angeles, CA",74235
6037139802,"Tarzana, Los Angeles, CA",73614
6037670326,"Palos Verdes Estates, CA",72431
6059021824,"Yorba Linda, CA",71816
6037139702,"Encino, Los Angeles, CA",71582
6037620301,"Manhattan Beach, CA",71516
6037464100,"San Marino, CA",71481
6037460800,"North Arroyo, Pasadena, CA",71100
6037670416,"Rancho Palos Verdes, CA",71058
6037700600,"Beverly Hills, CA",70857
6037620901,"Manhattan Beach, CA",70724
6059032044,"Coto de Caza, CA",70533
6059062630,"Turtle Rock, Irvine, CA",70110
6059063007,"Newport Beach, CA",70062
6037800332,"Agoura Hills, CA",70046
6059021825,"Yorba Linda, CA",70022
6037670324,"Palos Verdes Estates, CA",69916
6037262601,"Pacific Palisades, Los Angeles, CA",69838
6037460700,"La Cañada Flintridge, CA",69628
6037141500,"Encino, Los Angeles, CA",69587
6037108103,"Northridge, Los Angeles, CA",69257
6037577501,"Naples, Long Beach, CA",69198
6037701201,"North of Montana, Santa Monica, CA",69157
6037261102,"Beverly Hills, CA",69112
6059052421,"Northwood, Irvine, CA",68907
6059032034,"Mission Viejo, CA",68846
6037194101,"Central LA, Los Angeles, CA",68206
6059021829,"Yorba Linda, CA",68033
6037113301,"Northridge, Los Angeles, CA",67997
6037460502,"La Cañada Flintridge, CA",67962
6111007402,"Thousand Oaks, CA",67636
6037139703,"Encino, Los Angeles, CA",67515
6059001602,"Fullerton, CA",67498
6037700700,"The Flats, Beverly Hills, CA",67429
6037670328,"Palos Verdes Estates, CA",67376
6037262400,"Brentwood, Los Angeles, CA",67339
6037464200,"San Marino, CA",66926
6037300702,"Brockmont, Glendale, CA",66722
6059001706,"Fullerton, CA",66537
6059062644,"Newport Beach, CA",66479
6037800101,"Greater Mulwood, Calabasas, CA",66402
6037300901,"Chevy Chase, Glendale, CA",66355
6037108101,"Northridge, Los Angeles, CA",66337
6037430701,"Arcadia, CA",66144
6059075606,"Santa Ana, CA",66101
6059075814,"Orange, CA",65944
6059075605,"Orange, CA",65938
6037269500,"Beverlywood, Los Angeles, CA",65851
6059021827,"Yorba Linda, CA",65801
6037620305,"Manhattan Beach, CA",65798
6037134424,"Canoga Park, Los Angeles, CA",65677
6037262704,"Pacific Palisades, Los Angeles, CA",65677
6037269000,"Cheviot Hills, Los Angeles, CA",65609
6059062631,"Turtle Rock, Irvine, CA",65577
6037189701,"Central LA, Los Angeles, CA",65570
6037276601,"Playa del Rey, Los Angeles, CA",65563
6037460600,"La Cañada Flintridge, CA",65560
6037670202,"Rolling Hills Estates, CA",65409
6059021921,"Anaheim Hills, Anaheim, CA",65327
6037463800,"Northeast Los Angeles, Pasadena, CA",65309
6059099415,"Huntington Beach, CA",65049
6037460501,"La Cañada Flintridge, CA",65049
6037262802,"Pacific Palisades, Santa Monica, CA",65034
6037108104,"Northridge, Los Angeles, CA",64969
6037400205,"Claremont, CA",64890
6037800203,"Calabasas, CA",64712
6059099308,"Huntington Beach, CA",64686
6037670702,"Rancho Palos Verdes, CA",64611
6059075809,"Villa Park, CA",64603
6059075604,"Santa Ana, CA",64478
6059021915,"Anaheim Hills, Anaheim, CA",64437
6059075810,"Villa Park, CA",64392
6037400404,"Glendora, CA",64367
6059032043,"Trabuco Canyon, CA",64340
6037400204,"Bonita, La Verne, CA",64316
6037400501,"Glendora, CA",64043
6059021828,"Yorba Linda, CA",64007
6037620303,"Manhattan Beach, CA",64001
6037113211,"Chatsworth, Los Angeles, CA",63999
6037113102,"Chatsworth, Los Angeles, CA",63993
6059062604,"Irvine, CA",63946
6037573902,"El Dorado, Long Beach, CA",63939
6037262303,"Brentwood, Los Angeles, CA",63894
6037403320,"Diamond Bar, CA",63864
6111006302,"Thousand Oaks, CA",63853
6037800326,"Westlake Village, CA",63839
6111007511,"Bell Canyon, CA",63792
