"tract","Name","Household_Income_rP_gP_pall"
47037018601,"Nashville, TN",78550
47037018500,"Belle Meade Links, Nashville, TN",76949
47187050305,"Brentwood, TN",72600
47187050404,"Franklin, TN",72037
47187050203,"Brentwood, TN",71171
47037018700,"Nashville, TN",70928
47187050207,"Brentwood, TN",70725
47037017901,"Green Hills, Nashville, TN",69744
47187050303,"Brentwood, TN",69710
47037018602,"Otter Creek, Forest Hills, TN",68533
47187050405,"Franklin, TN",68144
47037017902,"Green Hills, Nashville, TN",67405
47037018000,"Green Hills, Nashville, TN",66853
47037017701,"Nashville, TN",64758
47037018407,"Bellevue, Nashville, TN",64367
47187050206,"Brentwood, TN",64187
47037018201,"Nashville, TN",63648
47187050403,"Franklin, TN",63555
47187050304,"Brentwood, TN",62881
47187050406,"Franklin, TN",62854
47037017702,"Green Hills, Nashville, TN",62219
47037018804,"Brownstone, Brentwood, TN",61987
47187050208,"Franklin, TN",61181
47037018801,"Crieve Hall, Nashville, TN",61005
47187050204,"Brentwood, TN",60943
47165021201,"Hendersonville, TN",60925
47165021007,"Hendersonville, TN",60784
47187050205,"Brentwood, TN",60666
47037018803,"Seven Springs, Brentwood, TN",59501
47037016700,"Green Hills, Nashville, TN",59168
47037018102,"Hillwood, Nashville, TN",58744
47037018408,"Bellevue, Nashville, TN",58681
47165021008,"Hendersonville, TN",58498
47187050702,"Franklin, TN",58065
47037016500,"Midtown, Nashville, TN",57301
47165020501,"Gallatin, TN",55911
47037018405,"Bellevue, Nashville, TN",55677
47189030303,"Mount Juliet, TN",55492
47165021006,"Hendersonville, TN",55296
47187050102,"Nolensville, TN",54928
47037016800,"Hillsboro West End, Nashville, TN",54396
47037018409,"Bellevue, Nashville, TN",54340
47187050306,"Brentwood, TN",53771
47165021005,"Goodlettsville, TN",52900
47165021205,"Hendersonville, TN",52413
47189030202,"Lebanon, TN",52374
47037010202,"Goodlettsville, TN",52348
47037018203,"West Meade, Nashville, TN",52231
47165021203,"Gallatin, TN",52148
47189030305,"Green Hill, TN",51684
47187050701,"Franklin, TN",51380
47037019114,"Antioch, Nashville, TN",51190
47037018202,"Bellevue, Nashville, TN",50928
47187050101,"Brentwood, TN",50639
47189030307,"Mount Juliet, TN",50367
47037015619,"Antioch, Nashville, TN",50196
47189030308,"Mount Juliet, TN",50190
47189030309,"Mount Juliet, TN",50144
47037018902,"Binkley, Nashville, TN",49724
47037016400,"Midtown, Nashville, TN",49721
47165020903,"Gallatin, TN",49567
47187050307,"Brentwood, TN",49450
47037015401,"Hermitage, Nashville, TN",49266
47037019115,"Holt Woods, Nashville, TN",49021
47037018302,"Bellevue, Nashville, TN",48965
47189030204,"Lebanon, TN",48856
47165021002,"Hendersonville, TN",48766
47037019116,"The Woodlands, Nashville, TN",48632
47037010103,"Joelton, Nashville, TN",48539
47165020603,"Gallatin, TN",48516
47037019106,"Nashville, TN",48439
47165020406,"White House, TN",48347
47037017800,"Green Hills, Nashville, TN",48261
47189030901,"Mount Juliet, TN",48233
47165021204,"Hendersonville, TN",48179
47037016600,"Nashville, TN",47895
47037015610,"Hermitage, Nashville, TN",47697
47189030401,"Lebanon, TN",47611
47037018404,"Bellevue, Nashville, TN",47602
47043060401,"Burns, TN",47365
47189030203,"Mount Juliet, TN",47242
47189030101,"Lebanon, TN",47166
47165020601,"Gallatin, TN",46864
47037016900,"Belmont/Hillsboro, Nashville, TN",46795
47165021107,"Hendersonville, TN",46767
47147080604,"Greenbrier, TN",46319
47037019117,"Antioch, Nashville, TN",46181
47165021009,"Hendersonville, TN",45825
47149040306,"Smyrna, TN",45753
47043060501,"Dickson, TN",45728
47037018410,"Bellevue, Nashville, TN",45616
47165020502,"Gallatin, TN",45551
