"tract","Name","Household_Income_rP_gP_pall"
36059301700,"Manhasset, NY",93163
36059518204,"Woodbury, NY",92281
36059406400,"Garden City, NY",92080
36059302101,"Roslyn, NY",91257
36059412600,"Rockville Centre, NY",89100
36059411500,"Hewlett, NY",88978
36047004400,"Kings County, NY",88606
36059415202,"Merrick, NY",87749
36059302501,"Roslyn Heights, NY",87221
36059406501,"Garden City, NY",86724
36059519702,"Plainview, NY",86557
34039037900,"Summit, NJ",86499
36059415102,"Merrick, NY",86484
36059517705,"Glen Head, NY",86375
36059519602,"Plainview, NY",85828
36059518600,"Jericho, NY",85735
36059412700,"Rockville Centre, NY",84679
36059300900,"Manhasset, NY",83497
34013020000,"Essex County, NJ",83386
34013020100,"Essex County, NJ",83363
36059301500,"Plandome, NY",83149
36059521200,"Massapequa, NY",83004
34013021602,"North Caldwell, NJ",82694
36103110101,"Lloyd Harbor, NY",82670
36059519704,"Plainview, NY",82399
34013020400,"Livingston, NJ",82175
34013020500,"Livingston, NJ",81933
36103112212,"Dix Hills, NY",81670
36059518201,"Oyster Bay, NY",81579
36059412500,"Rockville Centre, NY",81485
36061012800,"Lenox Hill, New York, NY",81412
36059517701,"Glen Head, NY",81373
34023001417,"Edison, NJ",81363
36059300500,"Great Neck, NY",81166
36047061200,"Kings County, NY",81147
36059406600,"Mott Section, Garden City, NY",81008
36059518501,"Jericho, NY",80897
36059303400,"East Williston, NY",80650
36059300100,"Kings Point, NY",80474
36059517801,"Locust Valley, NY",80409
34013016200,"Upper Montclair, Montclair, NJ",80285
34003048200,"River Edge, NJ",80219
34003055100,"Tenafly, NJ",79805
36059518203,"Woodbury, NY",79739
36059303101,"New Hyde Park, NY",79706
36059300600,"Great Neck Plaza, NY",79655
36059301600,"Manhasset, NY",79646
34027044200,"Morristown, NJ",79531
34039038201,"Berkeley Heights, NJ",79477
34039036400,"Westfield, NJ",79335
36059411302,"Woodmere Park, Woodmere, NY",79261
36081091601,"Queens County, NY",79190
36059303301,"Williston Park, NY",79158
36059415201,"Merrick, NY",79152
36047062000,"Kings County, NY",78884
36059517500,"Glen Head, NY",78860
36059302300,"Albertson, NY",78787
34023001410,"Edison, NJ",78447
